Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-18,SBIN,EQ,195.45,196.0,197.2,189.7,192.95,192.6,193.79,55286449,1071391292560000.0,263886,15739695,0.2847
2020-09-21,SBIN,EQ,192.6,193.05,193.5,184.25,185.4,185.8,188.77,57614739,1087601639725000.0,311832,15185227,0.2636
2020-09-22,SBIN,EQ,185.8,186.15,188.3,181.15,187.0,186.2,185.25,51216440,948785552945000.1,278193,7158936,0.1398
2020-09-23,SBIN,EQ,186.2,188.15,188.95,181.0,184.15,183.8,184.03,44321881,815654811430000.0,233546,7118706,0.1606
2020-09-24,SBIN,EQ,183.8,181.1,181.8,175.5,176.45,176.35,178.59,46115352,823592943945000.0,286558,12700503,0.2754
2020-09-25,SBIN,EQ,176.35,179.0,182.75,176.15,182.25,182.2,179.71,46550618,836542652830000.0,213017,7170816,0.154
2020-09-28,SBIN,EQ,182.2,184.0,188.15,183.35,187.45,187.25,186.34,41921659,781151882755000.0,195148,6606392,0.1576
2020-09-29,SBIN,EQ,187.25,188.5,188.95,183.25,185.3,185.05,185.23,35688939,661075397495000.0,146100,3785103,0.1061
2020-09-30,SBIN,EQ,185.05,185.05,186.8,182.4,185.2,185.4,184.91,37642302,696034064575000.0,159069,5421166,0.14400000000000002
2020-10-01,SBIN,EQ,185.4,187.0,191.2,186.9,190.2,190.3,189.71,43589041,826938120705000.0,195571,7861957,0.1804
2020-10-05,SBIN,EQ,190.3,192.0,193.8,187.05,189.45,188.75,190.39,41694812,793829634085000.0,184563,4440433,0.10650000000000001
2020-10-06,SBIN,EQ,188.75,191.1,192.1,188.3,191.7,191.6,190.22,31098807,591554221460000.0,161429,3397274,0.1092
2020-10-07,SBIN,EQ,191.6,192.55,193.15,189.1,190.95,190.7,190.96,34578821,660301133020000.0,150721,3793581,0.1097
2020-10-08,SBIN,EQ,190.7,191.35,195.8,190.55,191.6,191.5,193.41,43351954,838465537145000.0,203970,8628169,0.19899999999999998
2020-10-09,SBIN,EQ,191.5,192.0,198.8,190.55,198.55,198.3,195.31,64908374,1267757359420000.0,277207,15862157,0.2444
2020-10-12,SBIN,EQ,198.3,199.7,205.95,197.25,199.0,198.7,201.34,69125880,1391763804490000.0,331018,9531119,0.1379
2020-10-13,SBIN,EQ,198.7,198.65,200.0,195.1,195.5,195.7,197.22,34949604,689286474945000.0,182813,3878144,0.111
2020-10-14,SBIN,EQ,195.7,194.05,200.9,193.05,199.1,200.05,196.49,40550062,796774151160000.0,198041,6204348,0.153
2020-10-15,SBIN,EQ,200.05,201.0,202.5,192.0,192.8,192.85,197.72,49184944,972467956325000.0,238796,8926933,0.1815
2020-10-16,SBIN,EQ,192.85,194.0,196.75,191.6,195.7,195.95,194.69,36894938,718295374275000.0,191841,3907003,0.1059
2020-10-19,SBIN,EQ,195.95,196.2,204.6,196.05,204.0,204.0,201.65,60223657,1214397065990000.0,323960,18100990,0.3006
2020-10-20,SBIN,EQ,204.0,201.0,204.35,200.7,202.95,203.05,202.74,39317197,797097496690000.0,175146,5620943,0.14300000000000002
2020-10-21,SBIN,EQ,203.05,204.7,207.3,198.85,204.0,203.75,204.08,54516482,1112591690265000.0,248104,10918958,0.2003
2020-10-22,SBIN,EQ,203.75,201.9,204.6,201.1,203.6,203.3,203.1,33721761,684900878565000.0,156779,4734176,0.1404
